invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin
37,M041,Mission,Sports and travel,$62.62,5.0,10/03/25,19:15:00,Ewallet,7.0,0.48
38,M070,Hurst,Electronic accessories,$60.88,9.0,15/01/25,17:17:00,Ewallet,4.7,0.33
39,M070,Hurst,Health and beauty,$54.92,8.0,23/03/25,13:24:00,Ewallet,7.6,0.33
40,M030,Richardson,Home and lifestyle,$30.12,8.0,03/03/25,13:01:00,Cash,7.7,0.48
41,M033,Pearland,Home and lifestyle,$86.72,1.0,17/01/25,18:45:00,Ewallet,7.9,0.48
42,M088,Cleburne,Home and lifestyle,$56.11,2.0,02/02/25,10:11:00,Cash,6.3,0.33
43,M079,La Porte,Sports and travel,$69.12,6.0,08/02/25,13:03:00,Cash,5.6,0.33
44,M042,Bryan,Food and beverages,$98.7,8.0,04/03/25,20:39:00,Cash,7.6,0.48
45,M036,Allen,Health and beauty,$15.37,2.0,16/03/25,19:47:00,Cash,7.2,0.48
46,M056,Rowlett,Electronic accessories,$93.96,4.0,09/03/25,18:00:00,Cash,9.5,0.33
47,M058,Port Arthur,Health and beauty,$56.69,9.0,27/02/25,17:24:00,Credit card,8.4,0.33
48,M015,Grand Prairie,Food and beverages,$20.01,9.0,06/02/25,15:47:00,Ewallet,4.1,0.48
49,M063,Georgetown,Electronic accessories,$18.93,6.0,10/02/25,12:45:00,Credit card,8.1,0.33
50,M021,McAllen,Fashion accessories,$82.63,10.0,19/03/25,17:08:00,Ewallet,7.9,0.48
51,M089,Southlake,Food and beverages,$91.4,7.0,03/02/25,10:19:00,Cash,9.5,0.33
52,M093,Angleton,Food and beverages,$44.59,5.0,10/02/25,15:10:00,Cash,8.5,0.33
53,M041,Mission,Fashion accessories,$17.87,4.0,22/03/25,14:42:00,Ewallet,6.5,0.48
54,M045,Missouri City,Fashion accessories,$15.43,1.0,25/01/25,15:46:00,Credit card,6.1,0.48
55,M005,Fort Worth,Home and lifestyle,$16.16,2.0,07/03/25,11:49:00,Ewallet,6.5,0.48
56,M042,Bryan,Electronic accessories,$85.98,8.0,28/02/25,19:01:00,Cash,8.2,0.48
57,M003,San Antonio,Home and lifestyle,$44.34,2.0,27/03/25,11:26:00,Cash,5.8,0.36
58,M070,Hurst,Health and beauty,$89.6,8.0,07/02/25,11:28:00,Ewallet,6.6,0.33
59,M066,Grapevine,Home and lifestyle,$72.35,10.0,20/01/25,15:55:00,Cash,5.4,0.33
60,M031,Lewisville,Electronic accessories,$30.61,6.0,12/03/25,20:36:00,Cash,9.3,0.48
61,M042,Bryan,Sports and travel,$24.74,3.0,15/02/25,17:47:00,Credit card,10.0,0.48
62,M078,Del Rio,Home and lifestyle,$55.73,6.0,24/02/25,10:55:00,Ewallet,7.0,0.33
63,M037,League City,Sports and travel,$55.07,9.0,03/02/25,13:40:00,Ewallet,10.0,0.48
64,M069,Rockwall,Sports and travel,$15.81,10.0,06/03/25,12:27:00,Credit card,8.6,0.33
65,M087,Waxahachie,Health and beauty,$75.74,4.0,14/02/25,14:35:00,Cash,7.6,0.33
66,M042,Bryan,Health and beauty,$15.87,10.0,13/03/25,16:40:00,Cash,5.8,0.48
67,M020,Killeen,Health and beauty,$33.47,2.0,10/02/25,15:43:00,Ewallet,6.7,0.48
68,M029,Round Rock,Fashion accessories,$97.61,6.0,07/01/25,15:01:00,Ewallet,9.9,0.48
69,M079,La Porte,Sports and travel,$78.77,10.0,24/01/25,10:04:00,Cash,6.4,0.33
70,M035,San Angelo,Health and beauty,$18.33,1.0,02/02/25,18:50:00,Cash,4.3,0.48
71,M007,Arlington,Food and beverages,$89.48,10.0,06/01/25,12:46:00,Credit card,9.6,0.48
72,M017,McKinney,Fashion accessories,$62.12,10.0,11/02/25,16:19:00,Cash,5.9,0.48
73,M096,Eagle Pass,Food and beverages,$48.52,3.0,05/03/25,18:17:00,Ewallet,4.0,0.18
74,M083,Farmers Branch,Electronic accessories,$75.91,6.0,09/03/25,18:21:00,Cash,8.7,0.33
75,M072,Lancaster,Home and lifestyle,$74.67,9.0,22/01/25,10:55:00,Ewallet,9.4,0.33
76,M003,San Antonio,Electronic accessories,$41.65,10.0,13/01/25,17:04:00,Credit card,5.4,0.48
77,M058,Port Arthur,Fashion accessories,$49.04,9.0,09/01/25,14:20:00,Credit card,8.6,0.33
78,M094,Alamo,Fashion accessories,$20.01,9.0,12/01/25,15:48:00,Credit card,5.7,0.33
79,M063,Georgetown,Food and beverages,$78.31,10.0,05/03/25,16:24:00,Ewallet,6.6,0.33
80,M071,Lufkin,Health and beauty,$20.38,5.0,22/01/25,18:56:00,Cash,6.0,0.33
81,M061,Cedar Park,Health and beauty,$99.19,6.0,21/01/25,14:42:00,Credit card,5.5,0.33
82,M090,Brownwood,Food and beverages,$96.68,3.0,26/01/25,19:56:00,Ewallet,6.4,0.33
83,M061,Cedar Park,Food and beverages,$19.25,8.0,23/01/25,18:37:00,Ewallet,6.6,0.33
84,M041,Mission,Food and beverages,$80.36,4.0,23/02/25,18:45:00,Ewallet,8.3,0.48
85,M097,Alice,Sports and travel,$48.91,5.0,09/03/25,10:17:00,Cash,6.6,0.18
86,M043,Baytown,Sports and travel,$83.06,7.0,05/03/25,14:31:00,Ewallet,4.0,0.48
87,M042,Bryan,Fashion accessories,$76.52,5.0,25/03/25,10:23:00,Cash,9.9,0.48
88,M046,Temple,Food and beverages,$49.38,7.0,27/03/25,20:35:00,Credit card,7.3,0.48
89,M011,Lubbock,Sports and travel,$42.47,1.0,02/01/25,16:57:00,Cash,5.7,0.48
90,M064,Bedford,Health and beauty,$76.99,6.0,27/02/25,17:55:00,Cash,6.1,0.33
91,M095,Big Spring,Home and lifestyle,$47.38,4.0,23/01/25,10:25:00,Cash,7.1,0.33
92,M049,North Richland Hills,Sports and travel,$44.86,10.0,26/01/25,19:54:00,Ewallet,8.2,0.48
93,M040,Edinburg,Sports and travel,$21.98,7.0,10/01/25,16:42:00,Ewallet,5.1,0.48
94,M065,Texas City,Health and beauty,$64.36,9.0,12/03/25,12:09:00,Credit card,8.6,0.33
95,M075,San Marcos,Health and beauty,$89.75,1.0,06/02/25,20:05:00,Credit card,6.6,0.33
96,M034,College Station,Electronic accessories,$97.16,1.0,08/03/25,20:38:00,Ewallet,7.2,0.48
97,M014,Amarillo,Health and beauty,$87.87,10.0,29/03/25,10:25:00,Ewallet,5.1,0.48
98,M096,Eagle Pass,Electronic accessories,$12.45,6.0,09/02/25,13:11:00,Cash,4.1,0.18
99,M004,Austin,Food and beverages,$52.75,3.0,23/03/25,10:16:00,Ewallet,9.3,0.48
100,M011,Lubbock,Home and lifestyle,$82.7,6.0,05/03/25,18:14:00,Cash,7.4,0.48
101,M075,San Marcos,Fashion accessories,$48.71,1.0,26/03/25,19:20:00,Cash,4.1,0.33
102,M057,Euless,Fashion accessories,$78.55,9.0,01/03/25,13:22:00,Cash,7.2,0.33
103,M023,Midland,Electronic accessories,$23.07,9.0,01/02/25,11:27:00,Cash,4.9,0.48
104,M012,Garland,Food and beverages,$58.26,6.0,28/03/25,16:44:00,Cash,9.9,0.48
105,M078,Del Rio,Health and beauty,$30.35,7.0,19/03/25,18:19:00,Cash,8.0,0.33
106,M055,Waxahachie,Electronic accessories,$88.67,10.0,12/01/25,14:50:00,Ewallet,7.3,0.33
107,M038,Sugar Land,Fashion accessories,$27.38,6.0,05/01/25,20:54:00,Credit card,7.9,0.48
108,M049,North Richland Hills,Sports and travel,$62.13,6.0,22/03/25,20:19:00,Cash,7.4,0.48
109,M044,Pharr,Food and beverages,$33.98,9.0,24/03/25,10:43:00,Cash,4.2,0.48
110,M056,Rowlett,Electronic accessories,$81.97,10.0,03/03/25,14:30:00,Cash,9.2,0.33
111,M007,Arlington,Sports and travel,$16.49,2.0,05/02/25,11:32:00,Ewallet,4.6,0.48
112,M025,Waco,Health and beauty,$98.21,3.0,05/02/25,10:41:00,Credit card,7.8,0.48
113,M005,Fort Worth,Fashion accessories,$72.84,7.0,15/02/25,12:44:00,Cash,8.4,0.48
114,M024,Carrollton,Home and lifestyle,$58.07,9.0,19/01/25,20:07:00,Ewallet,4.3,0.48
115,M003,San Antonio,Home and lifestyle,$80.79,9.0,01/02/25,20:31:00,Credit card,9.5,0.36
116,M087,Waxahachie,Fashion accessories,$27.02,3.0,02/03/25,13:01:00,Credit card,7.1,0.33
117,M040,Edinburg,Fashion accessories,$21.94,5.0,05/03/25,12:29:00,Ewallet,5.3,0.48
118,M071,Lufkin,Fashion accessories,$51.36,1.0,16/01/25,15:26:00,Ewallet,5.2,0.33
119,M027,Abilene,Food and beverages,$10.96,10.0,02/02/25,20:48:00,Ewallet,6.0,0.48
120,M071,Lufkin,Home and lifestyle,$53.44,2.0,20/01/25,20:38:00,Ewallet,4.1,0.33
121,M014,Amarillo,Electronic accessories,$99.56,8.0,14/02/25,17:03:00,Credit card,5.2,0.48
122,M069,Rockwall,Sports and travel,$57.12,7.0,12/01/25,12:02:00,Credit card,6.5,0.33
123,M085,Kerrville,Sports and travel,$99.96,9.0,09/03/25,17:26:00,Credit card,4.2,0.33
124,M061,Cedar Park,Home and lifestyle,$63.91,8.0,13/03/25,19:52:00,Credit card,4.6,0.33
125,M088,Cleburne,Fashion accessories,$56.47,8.0,09/03/25,14:57:00,Ewallet,7.3,0.33
126,M034,College Station,Home and lifestyle,$93.69,7.0,10/03/25,18:44:00,Credit card,4.5,0.48
127,M016,Brownsville,Sports and travel,$32.25,5.0,27/01/25,13:26:00,Cash,9.0,0.48
128,M044,Pharr,Fashion accessories,$31.73,9.0,08/01/25,16:17:00,Credit card,5.9,0.48
129,M035,San Angelo,Food and beverages,$68.54,8.0,08/01/25,15:57:00,Ewallet,8.5,0.48
130,M018,Frisco,Sports and travel,$90.28,9.0,08/02/25,11:15:00,Ewallet,7.2,0.48
131,M022,Mesquite,Fashion accessories,$39.62,7.0,25/01/25,13:18:00,Cash,7.5,0.48
132,M068,Burleson,Sports and travel,$92.13,6.0,06/03/25,20:34:00,Cash,8.3,0.33
133,M055,Waxahachie,Sports and travel,$34.84,4.0,10/02/25,18:36:00,Cash,7.4,0.33
134,M002,Dallas,Electronic accessories,$87.45,6.0,17/02/25,14:40:00,Credit card,8.8,0.36
135,M062,Galveston,Health and beauty,$81.3,6.0,08/03/25,16:43:00,Ewallet,5.3,0.33
136,M098,Mineral Wells,Fashion accessories,$90.22,3.0,18/02/25,19:39:00,Cash,6.2,0.18
137,M027,Abilene,Electronic accessories,$26.31,5.0,18/01/25,20:59:00,Credit card,8.8,0.48
138,M093,Angleton,Home and lifestyle,$34.42,6.0,18/02/25,15:39:00,Cash,9.8,0.33
139,M029,Round Rock,Sports and travel,$51.91,10.0,16/02/25,12:21:00,Cash,8.2,0.48
140,M016,Brownsville,Sports and travel,$72.5,8.0,16/03/25,19:25:00,Ewallet,9.2,0.48
141,M023,Midland,Sports and travel,$89.8,10.0,23/01/25,13:00:00,Credit card,5.4,0.48
142,M012,Garland,Health and beauty,$90.5,10.0,25/01/25,13:48:00,Cash,8.1,0.48
143,M052,Mansfield,Health and beauty,$68.6,10.0,05/02/25,19:57:00,Cash,9.1,0.57
144,M097,Alice,Food and beverages,$30.41,1.0,22/02/25,10:36:00,Credit card,8.4,0.18
145,M045,Missouri City,Home and lifestyle,$77.95,6.0,21/01/25,16:37:00,Credit card,8.0,0.48
146,M047,Flower Mound,Health and beauty,$46.26,6.0,08/03/25,17:11:00,Credit card,9.5,0.48
147,M026,Denton,Fashion accessories,$30.14,10.0,10/02/25,12:28:00,Ewallet,9.2,0.48
148,M054,Sherman,Health and beauty,$66.14,4.0,19/03/25,12:46:00,Credit card,5.6,0.21
149,M049,North Richland Hills,Home and lifestyle,$71.86,8.0,06/03/25,15:07:00,Credit card,6.2,0.48
150,M065,Texas City,Health and beauty,$32.46,8.0,27/03/25,13:48:00,Credit card,4.9,0.33
151,M016,Brownsville,Fashion accessories,$91.54,4.0,23/03/25,19:20:00,Credit card,4.8,0.48
152,M070,Hurst,Sports and travel,$34.56,7.0,11/03/25,16:07:00,Credit card,7.3,0.33
153,M099,Weatherford,Fashion accessories,$83.24,9.0,29/01/25,11:56:00,Credit card,7.4,0.18
154,M071,Lufkin,Food and beverages,$16.48,6.0,07/02/25,18:23:00,Ewallet,9.9,0.33
155,M078,Del Rio,Sports and travel,$80.97,8.0,28/01/25,13:05:00,Cash,9.3,0.33
156,M074,Weslaco,Food and beverages,$92.29,5.0,20/02/25,15:55:00,Cash,9.0,0.33
157,M042,Bryan,Electronic accessories,$72.17,1.0,04/01/25,19:40:00,Cash,6.1,0.48
158,M013,Irving,Home and lifestyle,$50.28,5.0,07/03/25,13:58:00,Ewallet,9.7,0.48
159,M100,Canyon,Health and beauty,$97.22,9.0,30/03/25,14:43:00,Ewallet,6.0,0.18
160,M094,Alamo,Sports and travel,$93.39,6.0,27/03/25,19:18:00,Ewallet,10.0,0.33
161,M028,Odessa,Food and beverages,$43.18,8.0,19/01/25,19:39:00,Credit card,8.3,0.48
162,M019,Pasadena,Sports and travel,$63.69,1.0,25/02/25,16:21:00,Cash,6.0,0.48
163,M011,Lubbock,Food and beverages,$45.79,7.0,13/03/25,19:44:00,Credit card,7.0,0.48
164,M084,Schertz,Sports and travel,$76.4,2.0,30/01/25,19:42:00,Ewallet,6.5,0.33
165,M057,Euless,Food and beverages,$39.9,10.0,20/02/25,15:24:00,Credit card,5.9,0.33
166,M088,Cleburne,Health and beauty,$42.57,8.0,25/02/25,14:12:00,Ewallet,5.6,0.33
167,M061,Cedar Park,Home and lifestyle,$95.58,10.0,16/01/25,13:32:00,Cash,4.8,0.33
168,M040,Edinburg,Fashion accessories,$98.98,10.0,08/02/25,16:20:00,Credit card,8.7,0.48
169,M069,Rockwall,Food and beverages,$51.28,6.0,19/01/25,16:31:00,Cash,6.5,0.33
170,M089,Southlake,Sports and travel,$69.52,7.0,01/02/25,15:10:00,Credit card,8.5,0.33
171,M031,Lewisville,Health and beauty,$70.01,5.0,03/01/25,11:36:00,Ewallet,5.5,0.48
172,M039,Longview,Food and beverages,$80.05,5.0,26/01/25,12:45:00,Credit card,9.4,0.48
173,M039,Longview,Electronic accessories,$20.85,8.0,03/03/25,19:17:00,Cash,6.3,0.48
174,M047,Flower Mound,Electronic accessories,$52.89,6.0,19/01/25,17:34:00,Credit card,9.8,0.48
175,M071,Lufkin,Food and beverages,$19.79,8.0,18/01/25,12:04:00,Ewallet,8.7,0.33
176,M060,DeSoto,Home and lifestyle,$33.84,9.0,21/03/25,16:21:00,Ewallet,8.8,0.33
177,M073,Seguin,Food and beverages,$22.17,8.0,03/03/25,17:01:00,Credit card,9.6,0.33
178,M059,Pflugerville,Fashion accessories,$22.51,7.0,13/02/25,10:50:00,Credit card,4.8,0.33
179,M012,Garland,Food and beverages,$73.88,6.0,23/03/25,19:16:00,Ewallet,4.4,0.48
180,M086,Rosenberg,Health and beauty,$86.8,3.0,28/01/25,16:47:00,Ewallet,9.9,0.33
181,M073,Seguin,Fashion accessories,$64.26,7.0,09/02/25,10:00:00,Cash,5.7,0.33
182,M028,Odessa,Food and beverages,$38.47,8.0,23/01/25,11:51:00,Cash,7.7,0.48
183,M053,Conroe,Sports and travel,$15.5,10.0,23/03/25,10:55:00,Ewallet,8.0,0.57
184,M024,Carrollton,Health and beauty,$34.31,8.0,25/01/25,15:00:00,Ewallet,5.7,0.48
185,M097,Alice,Sports and travel,$12.34,7.0,04/03/25,11:19:00,Credit card,6.7,0.18
186,M072,Lancaster,Food and beverages,$18.08,3.0,05/03/25,19:46:00,Ewallet,8.0,0.33
187,M023,Midland,Home and lifestyle,$94.49,8.0,03/03/25,19:00:00,Ewallet,7.5,0.48
188,M038,Sugar Land,Home and lifestyle,$46.47,4.0,08/02/25,10:53:00,Cash,7.0,0.48
189,M078,Del Rio,Home and lifestyle,$74.07,1.0,10/02/25,12:50:00,Ewallet,9.9,0.33
190,M084,Schertz,Home and lifestyle,$69.81,4.0,28/01/25,20:50:00,Credit card,5.9,0.33
191,M059,Pflugerville,Home and lifestyle,$77.04,3.0,11/02/25,10:39:00,Credit card,7.2,0.33
192,M062,Galveston,Fashion accessories,$73.52,2.0,15/01/25,13:41:00,Ewallet,4.6,0.33
193,M090,Brownwood,Food and beverages,$87.8,9.0,16/03/25,19:08:00,Cash,9.2,0.33
194,M015,Grand Prairie,Home and lifestyle,$25.55,4.0,26/01/25,20:23:00,Ewallet,5.7,0.48
195,M003,San Antonio,Electronic accessories,$32.71,5.0,19/03/25,11:30:00,Credit card,9.9,0.48
196,M066,Grapevine,Fashion accessories,$74.29,1.0,13/01/25,19:30:00,Cash,5.0,0.33
197,M079,La Porte,Health and beauty,$43.7,2.0,26/03/25,18:03:00,Cash,4.9,0.33
198,M002,Dallas,Home and lifestyle,$25.29,1.0,23/03/25,10:13:00,Ewallet,6.1,0.36
199,M094,Alamo,Health and beauty,$41.5,4.0,12/03/25,19:58:00,Credit card,8.2,0.33
200,M047,Flower Mound,Food and beverages,$71.39,5.0,17/02/25,19:57:00,Credit card,5.5,0.48
201,M100,Canyon,Sports and travel,$19.15,6.0,29/01/25,10:01:00,Credit card,6.8,0.18
202,M005,Fort Worth,Electronic accessories,$57.49,4.0,15/03/25,11:57:00,Cash,6.6,0.48
203,M086,Rosenberg,Electronic accessories,$61.41,7.0,14/01/25,10:02:00,Cash,9.8,0.33
204,M029,Round Rock,Health and beauty,$25.9,10.0,06/02/25,14:51:00,Ewallet,8.7,0.48
205,M065,Texas City,Home and lifestyle,$17.77,5.0,15/02/25,12:42:00,Credit card,5.4,0.33
206,M085,Kerrville,Health and beauty,$23.03,9.0,03/01/25,12:02:00,Ewallet,7.9,0.33
207,M034,College Station,Electronic accessories,$66.65,9.0,04/01/25,18:19:00,Credit card,9.7,0.48
208,M055,Waxahachie,Home and lifestyle,$28.53,10.0,18/03/25,17:38:00,Ewallet,7.8,0.33
209,M043,Baytown,Fashion accessories,$30.37,3.0,28/03/25,13:41:00,Ewallet,5.1,0.48
210,M003,San Antonio,Electronic accessories,$99.73,9.0,02/03/25,19:42:00,Credit card,6.5,0.48
211,M050,Victoria,Electronic accessories,$26.23,9.0,25/01/25,20:24:00,Ewallet,5.9,0.48
212,M057,Euless,Food and beverages,$93.26,9.0,16/01/25,18:08:00,Cash,8.8,0.33
213,M088,Cleburne,Home and lifestyle,$92.36,5.0,20/03/25,19:17:00,Ewallet,4.9,0.33
214,M093,Angleton,Sports and travel,$46.42,3.0,04/01/25,13:24:00,Credit card,4.4,0.33
215,M065,Texas City,Sports and travel,$29.61,7.0,11/03/25,15:53:00,Cash,6.5,0.33
216,M072,Lancaster,Home and lifestyle,$18.28,1.0,22/03/25,15:05:00,Credit card,8.3,0.33
217,M038,Sugar Land,Sports and travel,$24.77,5.0,24/03/25,18:27:00,Cash,8.5,0.48
218,M081,Friendswood,Electronic accessories,$94.64,3.0,21/02/25,16:55:00,Cash,5.5,0.33
219,M043,Baytown,Fashion accessories,$94.87,8.0,12/02/25,12:58:00,Ewallet,8.7,0.48
220,M044,Pharr,Food and beverages,$57.34,3.0,10/03/25,18:59:00,Credit card,7.9,0.48
221,M002,Dallas,Electronic accessories,$45.35,6.0,31/01/25,13:44:00,Ewallet,6.1,0.36
222,M056,Rowlett,Food and beverages,$62.08,7.0,06/03/25,13:46:00,Ewallet,5.4,0.33
223,M020,Killeen,Electronic accessories,$11.81,5.0,17/02/25,18:06:00,Cash,9.4,0.48
224,M026,Denton,Fashion accessories,$12.54,1.0,21/02/25,12:38:00,Cash,8.2,0.48
225,M003,San Antonio,Food and beverages,$43.25,2.0,20/03/25,15:56:00,Cash,6.2,0.48
226,M067,Haltom City,Sports and travel,$87.16,2.0,11/01/25,14:29:00,Credit card,9.7,0.33
227,M059,Pflugerville,Health and beauty,$69.37,9.0,26/01/25,19:14:00,Ewallet,4.0,0.33
228,M068,Burleson,Electronic accessories,$37.06,4.0,31/01/25,16:24:00,Ewallet,9.7,0.33
229,M049,North Richland Hills,Electronic accessories,$90.7,6.0,26/02/25,10:52:00,Cash,5.3,0.48
230,M087,Waxahachie,Home and lifestyle,$63.42,8.0,11/03/25,12:55:00,Ewallet,7.4,0.33
231,M007,Arlington,Fashion accessories,$81.37,2.0,26/01/25,19:28:00,Cash,6.5,0.48
232,M024,Carrollton,Electronic accessories,$10.59,3.0,12/03/25,13:52:00,Credit card,8.7,0.48
233,M059,Pflugerville,Health and beauty,$84.09,9.0,11/02/25,10:54:00,Cash,8.0,0.33
234,M045,Missouri City,Fashion accessories,$73.82,4.0,21/02/25,18:31:00,Credit card,6.7,0.48
235,M069,Rockwall,Health and beauty,$51.94,10.0,09/03/25,18:24:00,Ewallet,6.5,0.33
236,M084,Schertz,Sports and travel,$93.14,2.0,20/01/25,18:09:00,Ewallet,4.1,0.33
237,M068,Burleson,Health and beauty,$17.41,5.0,28/01/25,15:16:00,Credit card,4.9,0.33
238,M023,Midland,Fashion accessories,$44.22,5.0,05/03/25,17:07:00,Credit card,8.6,0.48
239,M040,Edinburg,Electronic accessories,$13.22,5.0,02/03/25,19:26:00,Cash,4.3,0.48
240,M085,Kerrville,Fashion accessories,$89.69,1.0,11/01/25,11:20:00,Ewallet,4.9,0.33
241,M009,Plano,Food and beverages,$24.94,9.0,11/01/25,16:49:00,Credit card,5.6,0.48
242,M100,Canyon,Health and beauty,$59.77,2.0,11/03/25,12:01:00,Credit card,5.8,0.18
243,M077,Coppell,Fashion accessories,$93.2,2.0,28/02/25,18:37:00,Credit card,6.0,0.33
244,M034,College Station,Home and lifestyle,$62.65,4.0,05/01/25,11:25:00,Cash,4.2,0.48
245,M070,Hurst,Home and lifestyle,$93.87,8.0,02/02/25,18:42:00,Credit card,8.3,0.33
246,M021,McAllen,Home and lifestyle,$47.59,8.0,01/01/25,14:47:00,Cash,5.7,0.48
247,M044,Pharr,Electronic accessories,$81.4,3.0,09/02/25,19:43:00,Cash,4.8,0.48
248,M055,Waxahachie,Fashion accessories,$17.94,5.0,23/01/25,14:04:00,Ewallet,6.8,0.33
249,M019,Pasadena,Electronic accessories,$77.72,4.0,07/01/25,16:11:00,Credit card,8.8,0.48
250,M026,Denton,Food and beverages,$73.06,7.0,14/01/25,19:06:00,Credit card,4.2,0.48
251,M033,Pearland,Food and beverages,$46.55,9.0,02/02/25,15:34:00,Ewallet,6.4,0.48
252,M078,Del Rio,Fashion accessories,$35.19,10.0,17/03/25,19:06:00,Credit card,8.4,0.33
253,M066,Grapevine,Sports and travel,$14.39,2.0,02/03/25,19:44:00,Credit card,7.2,0.33
254,M011,Lubbock,Home and lifestyle,$23.75,4.0,16/03/25,11:22:00,Cash,5.2,0.48
255,M016,Brownsville,Home and lifestyle,$58.9,8.0,06/01/25,11:23:00,Cash,8.9,0.48
256,M048,Harlingen,Fashion accessories,$32.62,4.0,29/01/25,14:12:00,Cash,9.0,0.48
257,M067,Haltom City,Electronic accessories,$66.35,1.0,31/01/25,10:46:00,Credit card,9.7,0.33
258,M049,North Richland Hills,Home and lifestyle,$25.91,6.0,05/02/25,10:16:00,Ewallet,8.7,0.48
259,M029,Round Rock,Electronic accessories,$32.25,4.0,13/02/25,12:38:00,Ewallet,6.5,0.48
260,M100,Canyon,Electronic accessories,$65.94,4.0,07/02/25,13:05:00,Credit card,6.9,0.18
261,M074,Weslaco,Electronic accessories,$75.06,9.0,19/03/25,13:25:00,Cash,6.2,0.33
262,M019,Pasadena,Fashion accessories,$16.45,4.0,07/03/25,14:53:00,Ewallet,5.6,0.48
263,M022,Mesquite,Fashion accessories,$38.3,4.0,13/03/25,19:22:00,Cash,5.7,0.48
264,M099,Weatherford,Sports and travel,$22.24,10.0,09/02/25,11:00:00,Cash,4.2,0.18
265,M095,Big Spring,Sports and travel,$54.45,1.0,26/02/25,19:24:00,Ewallet,7.9,0.33
266,M075,San Marcos,Sports and travel,$98.4,7.0,12/03/25,12:43:00,Credit card,8.7,0.33
